"id","name","slug","created_at","updated_at","deleted_at","cityId","latitude","longitude"
178,"Alanya","alanya","2018-05-28 11:46:57","2018-05-28 11:46:57",,11,,
179,"Demre","demre","2018-05-28 11:46:57","2018-05-28 11:46:57",,11,,
180,"Döşemealtı","dosemealti","2018-05-28 11:46:57","2018-05-28 11:46:57",,11,,
181,"Elmalı","elmali","2018-05-28 11:46:57","2018-05-28 11:46:57",,11,,
182,"Finike","finike","2018-05-28 11:46:57","2018-05-28 11:46:57",,11,,
183,"Gazipaşa","gazipasa","2018-05-28 11:46:57","2018-05-28 11:46:57",,11,,
184,"Gündoğmuş","gundogmus","2018-05-28 11:46:57","2018-05-28 11:46:57",,11,,
185,"İbradı","ibradi","2018-05-28 11:46:57","2018-05-28 11:46:57",,11,,
186,"Kaş","kas","2018-05-28 11:46:57","2018-05-28 11:46:57",,11,,
187,"Kemer","kemer","2018-05-28 11:46:57","2018-05-28 11:46:57",,11,,
188,"Kepez","kepez","2018-05-28 11:46:57","2018-05-28 11:46:57",,11,,
189,"Konyaaltı","konyaalti","2018-05-28 11:46:57","2018-05-28 11:46:57",,11,,
190,"Korkuteli","korkuteli","2018-05-28 11:46:57","2018-05-28 11:46:57",,11,,
191,"Kumluca","kumluca","2018-05-28 11:46:57","2018-05-28 11:46:57",,11,,
192,"Manavgat","manavgat","2018-05-28 11:46:57","2018-05-28 11:46:57",,11,,
193,"Muratpaşa","muratpasa","2018-05-28 11:46:57","2018-05-28 11:46:57",,11,,
194,"Serik","serik","2018-05-28 11:46:57","2018-05-28 11:46:57",,11,,
195,"Çıldır","cildir","2018-05-28 11:46:58","2018-05-28 11:46:58",,12,,
196,"Damal","damal","2018-05-28 11:46:58","2018-05-28 11:46:58",,12,,
197,"Göle","gole","2018-05-28 11:46:58","2018-05-28 11:46:58",,12,,
198,"Hanak","hanak","2018-05-28 11:46:58","2018-05-28 11:46:58",,12,,
199,"Merkez","merkez","2018-05-28 11:46:58","2018-05-28 11:46:58",,12,,
200,"Posof","posof","2018-05-28 11:46:58","2018-05-28 11:46:58",,12,,
201,"Ardanuç","ardanuc","2018-05-28 11:46:58","2018-05-28 11:46:58",,13,,
202,"Arhavi","arhavi","2018-05-28 11:46:58","2018-05-28 11:46:58",,13,,
203,"Borçka","borcka","2018-05-28 11:46:58","2018-05-28 11:46:58",,13,,
204,"Hopa","hopa","2018-05-28 11:46:58","2018-05-28 11:46:58",,13,,
205,"Merkez","merkez","2018-05-28 11:46:58","2018-05-28 11:46:58",,13,,
206,"Murgul","murgul","2018-05-28 11:46:58","2018-05-28 11:46:58",,13,,
207,"Şavşat","savsat","2018-05-28 11:46:58","2018-05-28 11:46:58",,13,,
208,"Yusufeli","yusufeli","2018-05-28 11:46:58","2018-05-28 11:46:58",,13,,
209,"Bozdoğan","bozdogan","2018-05-28 11:46:58","2018-05-28 11:46:58",,14,,
210,"Buharkent","buharkent","2018-05-28 11:46:58","2018-05-28 11:46:58",,14,,
211,"Çine","cine","2018-05-28 11:46:58","2018-05-28 11:46:58",,14,,
212,"Didim","didim","2018-05-28 11:46:58","2018-05-28 11:46:58",,14,,
213,"Efeler","efeler","2018-05-28 11:46:58","2018-05-28 11:46:58",,14,,
214,"Germencik","germencik","2018-05-28 11:46:58","2018-05-28 11:46:58",,14,,
215,"İncirliova","incirliova","2018-05-28 11:46:58","2018-05-28 11:46:58",,14,,
216,"Karacasu","karacasu","2018-05-28 11:46:58","2018-05-28 11:46:58",,14,,
217,"Karpuzlu","karpuzlu","2018-05-28 11:46:58","2018-05-28 11:46:58",,14,,
218,"Koçarlı","kocarli","2018-05-28 11:46:58","2018-05-28 11:46:58",,14,,
219,"Köşk","kosk","2018-05-28 11:46:58","2018-05-28 11:46:58",,14,,
220,"Kuşadası","kusadasi","2018-05-28 11:46:58","2018-05-28 11:46:58",,14,,
221,"Kuyucak","kuyucak","2018-05-28 11:46:58","2018-05-28 11:46:58",,14,,
222,"Nazilli","nazilli","2018-05-28 11:46:58","2018-05-28 11:46:58",,14,,
223,"Söke","soke","2018-05-28 11:46:58","2018-05-28 11:46:58",,14,,
224,"Sultanhisar","sultanhisar","2018-05-28 11:46:58","2018-05-28 11:46:58",,14,,
225,"Yenipazar","yenipazar","2018-05-28 11:46:58","2018-05-28 11:46:58",,14,,
226,"Altıeylül","altieylul","2018-05-28 11:46:58","2018-05-28 11:46:58",,15,,
227,"Ayvalık","ayvalik","2018-05-28 11:46:58","2018-05-28 11:46:58",,15,,
228,"Balya","balya","2018-05-28 11:46:58","2018-05-28 11:46:58",,15,,
229,"Bandırma","bandirma","2018-05-28 11:46:58","2018-05-28 11:46:58",,15,,
230,"Bigadiç","bigadic","2018-05-28 11:46:58","2018-05-28 11:46:58",,15,,
231,"Burhaniye","burhaniye","2018-05-28 11:46:58","2018-05-28 11:46:58",,15,,
232,"Dursunbey","dursunbey","2018-05-28 11:46:58","2018-05-28 11:46:58",,15,,
233,"Edremit","edremit","2018-05-28 11:46:58","2018-05-28 11:46:58",,15,,
