"id","name","slug","created_at","updated_at","deleted_at","districtId","latitude","longitude"
39828,"Çalıklar","caliklar","2018-05-28 11:47:59","2018-05-28 11:47:59",,768,,
39840,"Dere","dere","2018-05-28 11:47:59","2018-05-28 11:47:59",,768,,
39848,"Kayabaşı","kayabasi","2018-05-28 11:47:59","2018-05-28 11:47:59",,768,,
39859,"Kutluova","kutluova","2018-05-28 11:47:59","2018-05-28 11:47:59",,768,,
39871,"Pınarbaşı","pinarbasi","2018-05-28 11:48:00","2018-05-28 11:48:00",,768,,
39878,"Yücebelen","yucebelen","2018-05-28 11:48:00","2018-05-28 11:48:00",,768,,
39887,"Ariki","ariki","2018-05-28 11:48:00","2018-05-28 11:48:00",,769,,
39900,"Başbağlar","basbaglar","2018-05-28 11:48:00","2018-05-28 11:48:00",,769,,
39907,"Dolunay","dolunay","2018-05-28 11:48:00","2018-05-28 11:48:00",,769,,
39919,"Gümüşçeşme","gumuscesme","2018-05-28 11:48:00","2018-05-28 11:48:00",,769,,
39931,"Kozlupınar","kozlupinar","2018-05-28 11:48:00","2018-05-28 11:48:00",,769,,
39944,"Yuva","yuva","2018-05-28 11:48:00","2018-05-28 11:48:00",,769,,
39951,"Atatürk","ataturk","2018-05-28 11:48:00","2018-05-28 11:48:00",,132,,
39961,"Bahçeyazı","bahceyazi","2018-05-28 11:48:00","2018-05-28 11:48:00",,132,,
39970,"Bozyazı","bozyazi","2018-05-28 11:48:00","2018-05-28 11:48:00",,132,,
39981,"Cumhuriyet","cumhuriyet","2018-05-28 11:48:00","2018-05-28 11:48:00",,132,,
39988,"Elmaköy","elmakoy","2018-05-28 11:48:00","2018-05-28 11:48:00",,132,,
39997,"Gülabibey","gulabibey","2018-05-28 11:48:00","2018-05-28 11:48:00",,132,,
40007,"Gürlevik","gurlevik","2018-05-28 11:48:00","2018-05-28 11:48:00",,132,,
40016,"Kalecik","kalecik","2018-05-28 11:48:00","2018-05-28 11:48:00",,132,,
40026,"Mertekli","mertekli","2018-05-28 11:48:00","2018-05-28 11:48:00",,132,,
40041,"Oğulcuk","ogulcuk","2018-05-28 11:48:00","2018-05-28 11:48:00",,132,,
40047,"Terzibaba","terzibaba","2018-05-28 11:48:00","2018-05-28 11:48:00",,132,,
40059,"Yavuz Selim","yavuz-selim","2018-05-28 11:48:00","2018-05-28 11:48:00",,132,,
40069,"Fatih","fatih","2018-05-28 11:48:00","2018-05-28 11:48:00",,771,,
40079,"Umurlu","umurlu","2018-05-28 11:48:00","2018-05-28 11:48:00",,771,,
40092,"Avşarözü","avsarozu","2018-05-28 11:48:00","2018-05-28 11:48:00",,772,,
40100,"Biçer","bicer","2018-05-28 11:48:00","2018-05-28 11:48:00",,772,,
40108,"Çavuş","cavus","2018-05-28 11:48:00","2018-05-28 11:48:00",,772,,
40119,"Çukuryazı","cukuryazi","2018-05-28 11:48:00","2018-05-28 11:48:00",,772,,
40130,"Gülensu","gulensu","2018-05-28 11:48:00","2018-05-28 11:48:00",,772,,
40139,"Kaçak","kacak","2018-05-28 11:48:00","2018-05-28 11:48:00",,772,,
40147,"Kemaliye","kemaliye","2018-05-28 11:48:00","2018-05-28 11:48:00",,772,,
40157,"Kürelik","kurelik","2018-05-28 11:48:00","2018-05-28 11:48:00",,772,,
40165,"Ören","oren","2018-05-28 11:48:00","2018-05-28 11:48:00",,772,,
40175,"Resullar","resullar","2018-05-28 11:48:00","2018-05-28 11:48:00",,772,,
40183,"Söğütlü","sogutlu","2018-05-28 11:48:00","2018-05-28 11:48:00",,772,,
40193,"Uludere","uludere","2018-05-28 11:48:00","2018-05-28 11:48:00",,772,,
40202,"Yıldızören","yildizoren","2018-05-28 11:48:00","2018-05-28 11:48:00",,772,,
40210,"Yeniköy","yenikoy","2018-05-28 11:48:00","2018-05-28 11:48:00",,772,,
40220,"Beşkaya","beskaya","2018-05-28 11:48:00","2018-05-28 11:48:00",,773,,
40231,"Elaldı","elaldi","2018-05-28 11:48:00","2018-05-28 11:48:00",,773,,
40237,"Gedikdere","gedikdere","2018-05-28 11:48:00","2018-05-28 11:48:00",,773,,
40247,"Kargın","kargin","2018-05-28 11:48:00","2018-05-28 11:48:00",,773,,
40256,"Küçükağa","kucukaga","2018-05-28 11:48:00","2018-05-28 11:48:00",,773,,
40264,"Ortaköy","ortakoy","2018-05-28 11:48:00","2018-05-28 11:48:00",,773,,
40275,"Yaylacık","yaylacik","2018-05-28 11:48:00","2018-05-28 11:48:00",,773,,
40285,"Atatürk","ataturk","2018-05-28 11:48:00","2018-05-28 11:48:00",,774,,
40295,"Çınarlı","cinarli","2018-05-28 11:48:00","2018-05-28 11:48:00",,774,,
40307,"İstasyon","istasyon","2018-05-28 11:48:00","2018-05-28 11:48:00",,774,,
40316,"Otluk","otluk","2018-05-28 11:48:00","2018-05-28 11:48:00",,774,,
40326,"Altıntaş","altintas","2018-05-28 11:48:00","2018-05-28 11:48:00",,775,,
40335,"Demirkıran","demirkiran","2018-05-28 11:48:00","2018-05-28 11:48:00",,775,,
